id,male
1001,1
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,1
1060,1
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,1
1070,0
1071,1
1072,1
1073,0
1074,0
1075,1
1076,1
1077,0
1078,1
1079,0
1080,0
1081,1
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,0
1102,1
1103,0
1104,0
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,1
1113,0
1114,1
1115,1
1116,0
1117,1
1118,0
1119,0
1120,0
1121,1
1122,1
1123,1
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,0
1150,0
1151,1
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,1
1173,0
1174,1
1175,1
1176,0
1177,1
1178,0
1179,1
1180,1
1181,0
1182,1
1183,1
1184,0
1185,0
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,1
1197,1
1198,0
1199,0
1200,1
1201,0
1202,1
1203,1
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,0
1218,0
1219,0
1220,0
1221,1
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,1
1231,1
1232,0
1233,1
1234,1
1235,1
1236,0
1237,1
1238,0
1239,1
1240,0
1241,0
1242,1
1243,1
1244,1
1245,1
1246,0
1247,0
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,0
1256,0
1257,0
1258,1
1259,1
1260,0
1261,1
1262,1
1263,1
1264,1
1265,0
1266,1
1267,0
1268,1
1269,1
1270,1
1271,0
1272,1
1273,1
1274,0
1275,1
1276,0
1277,0
1278,1
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,0
1287,0
1288,0
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,1
1296,1
1297,0
1298,0
1299,1
1300,1
1301,1
1302,1
1303,0
1304,0
1305,0
1306,1
1307,0
1308,0
1309,0
1310,0
1311,0
1312,1
1313,0
1314,1
1315,0
1316,0
1317,0
1318,0
1319,1
1320,1
1321,1
1322,0
1323,0
1324,0
1325,1
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,1
1333,0
1334,1
1335,0
1336,0
1337,1
1338,1
1339,1
1340,0
1341,0
1342,0
1343,0
1344,1
1345,1
1346,1
1347,0
1348,0
1349,1
1350,1
1351,0
1352,0
1353,0
1354,1
1355,0
1356,0
1357,0
1358,1
1359,0
1360,0
1361,1
1362,0
1363,0
1364,0
1365,1
1366,0
1367,0
1368,0
1369,1
1370,0
1371,0
1372,1
1373,0
1374,1
1375,0
1376,1
1377,0
1378,0
1379,0
1380,0
1381,1
1382,0
1383,0
1384,0
1385,0
1386,1
1387,0
1388,0
1389,1
1390,1
1391,0
1392,1
1393,0
1394,1
1395,1
1396,0
1397,1
1398,1
1399,0
1400,0
1401,0
1402,1
1403,0
1404,0
1405,0
1406,0
1407,1
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,1
1415,0
1416,1
1417,0
1418,1
1419,0
1420,1
1421,1
1422,1
1423,0
1424,1
1425,0
1426,0
1427,1
1428,0
1429,0
1430,1
1431,1
1432,0
1433,0
1434,0
1435,1
1436,1
1437,0
1438,0
1439,0
1440,1
1441,0
1442,1
1443,0
1444,0
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,1
1453,1
1454,0
1455,0
1456,0
1457,0
1458,1
1459,1
1460,0
1461,0
1462,1
1463,1
1464,0
1465,0
1466,1
1467,0
1468,1
1469,0
1470,1
1471,1
1472,1
1473,1
1474,1
1475,0
1476,1
1477,0
1478,0
1479,0
1480,1
1481,1
1482,0
1483,1
1484,0
1485,0
1486,1
1487,0
1488,1
1489,1
1490,1
1491,0
1492,1
1493,1
1494,1
1495,1
1496,1
1497,0
1498,0
1499,1
1500,1
1501,1
1502,1
1503,0
1504,1
1505,1
1506,0
1507,0
1508,1
1509,0
1510,1
1511,1
1512,1
1513,1
1514,0
1515,1
1516,0
1517,1
1518,0
1519,0
1520,1
1521,1
1522,1
1523,0
1524,1
1525,0
1526,1
1527,1
1528,1
1529,0
1530,0
1531,1
1532,1
1533,0
1534,0
1535,0
1536,1
1537,0
1538,1
1539,1
1540,0
1541,0
1542,1
1543,0
1544,0
1545,0
1546,0
1547,1
1548,0
1549,1
1550,0
1551,1
1552,0
1553,0
1554,1
1555,1
1556,1
1557,0
1558,1
1559,0
1560,1
1561,0
1562,1
1563,0
1564,0
1565,0
1566,1
1567,0
1568,0
1569,1
1570,1
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,0
1585,0
1586,0
1587,1
1588,1
1589,1
1590,0
1591,0
1592,0
1593,1
1594,0
1595,0
1596,0
1597,1
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,1
1605,0
1606,1
1607,1
1608,1
1609,1
1610,1
1611,0
1612,1
1613,1
1614,0
1615,0
1616,1
1617,1
1618,1
1619,0
1620,0
1621,0
1622,1
1623,0
1624,0
1625,1
1626,1
1627,1
1628,0
1629,1
1630,0
1631,0
1632,0
1633,1
1634,1
1635,1
1636,0
1637,1
1638,0
1639,0
1640,0
1641,1
1642,1
1643,1
1644,0
1645,1
1646,1
1647,1
1648,0
1649,1
1650,0
1651,0
1652,1
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,1
1663,1
1664,1
1665,0
1666,1
1667,0
1668,0
1669,0
1670,0
1671,1
1672,1
1673,0
1674,0
1675,0
1676,0
1677,1
1678,1
1679,0
1680,1
1681,0
1682,1
1683,1
1684,0
1685,0
1686,0
1687,1
1688,0
1689,1
1690,1
1691,1
1692,1
1693,0
1694,0
1695,1
1696,0
1697,0
1698,1
1699,0
1700,1
1701,0
1702,1
1703,0
1704,0
1705,1
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,1
1713,0
1714,0
1715,0
1716,0
1717,0
1718,1
1719,0
1720,1
1721,0
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,0
1730,0
1731,1
1732,1
1733,1
1734,1
1735,1
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,1
1743,0
1744,1
1745,0
1746,1
1747,1
1748,1
1749,1
1750,1
1751,0
1752,1
1753,1
1754,1
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,1
1762,0
1763,1
1764,1
1765,0
1766,0
1767,1
1768,1
1769,1
1770,1
1771,0
1772,0
1773,1
1774,1
1775,1
1776,1
1777,0
1778,0
1779,0
1780,1
1781,0
1782,1
1783,1
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,1
1792,0
1793,1
1794,0
1795,0
1796,1
1797,0
1798,0
1799,1
1800,0
1801,0
1802,0
1803,1
1804,0
1805,0
1806,1
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,1
1816,0
1817,0
1818,0
1819,0
1820,1
1821,1
1822,0
1823,0
1824,1
1825,0
1826,1
1827,1
1828,1
1829,0
1830,0
1831,1
1832,0
1833,1
1834,0
1835,1
1836,0
1837,1
1838,1
1839,1
1840,0
1841,1
1842,1
1843,0
1844,1
1845,0
1846,0
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,1
1861,0
1862,0
1863,1
1864,1
1865,0
1866,0
1867,1
1868,0
1869,0
1870,0
1871,1
1872,0
1873,1
1874,1
1875,0
1876,1
1877,0
1878,1
1879,1
1880,0
1881,0
1882,1
1883,1
1884,1
1885,1
1886,1
1887,1
1888,0
1889,0
1890,1
1891,1
1892,1
1893,0
1894,0
1895,1
1896,1
1897,1
1898,0
1899,0
1900,1
1901,0
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,0
1909,0
1910,1
1911,1
1912,0
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,0
1920,1
1921,0
1922,0
1923,0
1924,0
1925,1
1926,0
1927,0
1928,1
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,1
1936,1
1937,0
1938,0
1939,1
1940,0
1941,0
1942,1
1943,1
1944,0
1945,1
1946,0
1947,1
1948,1
1949,0
1950,0
1951,0
1952,1
1953,0
1954,1
1955,0
1956,0
1957,0
1958,1
1959,1
1960,0
1961,0
1962,0
1963,0
1964,1
1965,1
1966,0
1967,0
1968,0
1969,0
1970,0
1971,1
1972,0
1973,0
1974,0
1975,1
1976,0
1977,0
1978,1
1979,1
1980,1
1981,1
1982,1
1983,1
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,1
1998,1
1999,1
2000,0
